,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
F53A9.6,0.195959581280395,0.502117525749511,-2.02519720528685,-5.69963667379268,7,2,0.262834828052727,0,0,0,0.145573467830027,0.679535407370587,0.321446244254677,0.68646523205734,False,False,False
F53A9.7,0.0274335715757341,0.121662675577462,-10.8021589066889,-17.1019909833733,7,2,1.84471837878963,0,0,0,0.053491362717872,0.409703785201021,0.0805494620223489,0.257364464895309,False,False,False
F53A9.8,0.0417759745182839,0.167674056383308,-5.26768774232697,-11.0342634257982,7,2,0.645668294701836,0,0,0,0.250879807208467,0.889703211214068,0.0325459634829262,0.12981599901808,False,False,False
F53A9.9,0.0165071427728133,0.0824558025388651,-11.668647433918,-18.5998743170231,7,2,2.2945157119378,0,0,0,0.788529228968061,1.0,0.0038697231001732,0.023535041619226,False,False,False
F53A10.2,0.0001263674383983,0.0014573551964303,-41.178280797225,-53.7880777556458,7,2,135.760485687949,0,0,0,0.777012899580606,1.0,1.77108221394255e-05,0.000236524092072,False,True,False
F53B1.2,0.992242644036243,0.999999378271023,-33.6848646573251,-33.9332281974359,7,2,21.0373379676018,0,0,0,0.807085904725853,1.0,0.995371240074028,0.999999999918703,False,False,False
F53B1.3,0.0006602303926563,0.0060518261186604,-30.1504146312545,-40.8851328756188,7,2,67.8334845481206,0,0,0,1.0,1.0,4.25857158144488e-05,0.0005068633764222,False,True,False
F53B1.4,0.0004332502844662,0.0042003853128607,-35.7416507359625,-46.957743321236,7,2,42.2386195457468,0,0,0,1.0,1.0,1.01277879997557e-07,2.28012528555903e-06,False,True,False
swip-10,0.43088487440612,0.831534461002794,-24.2963675380988,-26.7356284589872,7,2,9.47265722702372,0,0,0,0.133689074972455,0.64962305759421,0.836501240801633,0.999999999918703,False,False,False
F53B1.8,0.238944275169998,0.57343376203667,-29.8709977458475,-33.2520392829872,7,2,23.4146372531616,0,0,0,0.233734758292423,0.853191703741414,0.277559302731734,0.62548325628371,False,False,False
tra-4,0.905810749176384,0.999999378271023,-42.9853678285446,-43.7663480226694,7,2,136.101641272784,0,0,0,0.995655704303784,1.0,0.670035237641679,0.999999999918703,False,False,False
