,avg
nhr-243,9.357069
fbxa-111,7.689032
Y105C5B.5,4.516340375
Y105C5B.25,7.1953905
Y105E8A.13,7.5842694999999996
lgc-55,8.0141835
clec-194,8.00305
bca-2,5.6598365
Y116A8C.33,8.4411775
fbxa-37,7.3529645
ZC84.7,4.4130275
hhat-1,5.1633015
ZC116.1,3.274634
ZC247.1,3.177979
ZC374.2,7.896521
msa-1,3.851015
ZC443.3,3.56027915
ugt-16,7.3330945
kri-1,6.52820735
hizr-1,8.1074775
dos-1,8.168524
ZK593.3,7.7650714999999995
ZK596.3,8.048657
arrd-15,7.1815
dbt-1,11.074074
ZK675.4,4.05638
ZK829.1,4.631877645
ZK829.3,7.8196065
ZK836.3,4.460392000000001
ZK856.6,8.0258275
hpo-40,4.865959999999999
gld-4,5.0509725
ZK909.6,3.93131544
ZK945.7,7.92661965
ZK945.8,7.7389475
nep-26,7.1340515
ZK971.1,8.579132000000001
ZK1025.3,6.9621695
ZK1067.4,7.90240605
ZK1128.3,9.26391195
ZK1320.2,8.0041875
ZK1321.4,8.17014
R13H4.2,6.1063275
B0034.5,8.1055095
B0207.11,4.887814939999999
B0252.3,7.3479747
B0280.13,7.798707500000001
anmt-1,3.501132
B0303.4,3.8016745000000003
mrpl-11,3.6358588635
B0310.1,6.4319085000000005
B0454.8,8.711671500000001
B0478.3,7.462218999999999
B0507.7,6.4309935
scl-23,6.602972
B0545.4,7.726234
B0563.6,7.097154
C01F1.5,10.0500325
acdh-6,6.52124875
C02E7.7,14.161855
C02F5.2,6.638393
fbxl-1,7.885666499999999
tag-278,3.4819187499999997
npr-19,7.5511
C03G6.5,7.0177075
cyp-35A2,6.19294679
C03H5.5,6.648971
lgc-9,8.345606
srsx-18,4.788313
C04G6.7,7.168896500000001
C05C8.7,11.1237715
C05D11.5,6.866432
C05E11.7,6.9231845
C06A6.4,7.0486745
C06E8.5,10.698084999999999
C06G1.1,6.414964
C07D10.1,7.126272
C08F1.8,7.036203
C08G9.1,9.383243
egal-1,3.7204230000000003
C10G8.8,5.5972615
C14B9.10,9.222529
C14C6.5,7.8332765
sfxn-2,4.58618575
C15H9.9,3.9904115
C16A11.3,7.5270065
C16A11.4,8.832449
C16C8.5,5.2716715
C17B7.10,8.494325
C17H12.11,9.354192
C18B2.3,8.5339155
C23G10.10,8.717255999999999
flp-24,4.2518145
elf-1,19.91061
cst-2,9.883638999999999
C24B9.3,8.3499575
dod-3,4.900537
C25A6.1,6.3355785000000004
C25E10.8,8.028775
C25E10.10,8.145491999999999
C25H3.10,5.3037915
C26B9.6,6.5458399499999995
C26F1.1,8.6293475
C27H5.2,9.8608415
C28G1.6,7.696373400000001
gsto-1,9.004147499999998
C30A5.10,6.148390000000001
trhr-1,6.7912045
idhg-2,7.419660950000001
C31H1.1,6.9864095
C32E8.9,6.2193235
osr-1,9.094345
C32E12.4,3.385789
gba-1,7.735255
rsef-1,6.031764
C34D10.1,8.596468
dmsr-7,7.881772099999999
C35E7.4,4.90328777
C36C5.12,9.0222625
C37C3.7,4.438053
abhd-5.2,8.49047
C37H5.13,7.952655
C39D10.8,8.874759
C39F7.1,8.339872
C39H7.4,7.56049
math-21,7.2690375000000005
C42D4.3,7.5818665
clhm-1,7.502627
C44B11.1,8.604478499999999
C45B2.6,9.4990925
del-7,7.363063
C46C11.3,4.052906
C46H11.6,5.9774136
phat-2,3.571262
C46H11.10,9.089969
C47D2.1,7.6197035
C48B6.9,6.786058000000001
C48E7.6,3.6882859999999997
C48E7.7,8.0947125
C49C8.2,6.627895499999999
C49H3.12,7.8485545000000005
C50D2.6,7.3111072
scl-26,8.222499000000001
C50F2.1,6.55691815
C50F2.4,7.7312775
C50F7.9,6.5770927
klo-1,7.3971735
coel-1,5.55219
C53A3.2,4.32285005
C53B7.3,8.8630115
C54F6.5,9.274528
srb-19,6.38003605
C54G6.2,7.4073035
C56G2.9,7.1048125
CD4.1,5.246317
CD4.3,3.4867014999999997
ensh-1,7.5740035
D1014.2,9.599273499999999
trk-1,7.4512619
D2024.4,7.75953465
D2096.9,7.524651499999999
E02H9.2,7.815034499999999
klo-2,6.673433
E04F6.10,7.20918
EGAP5.1,9.2345755
nmur-3,7.881144
glo-4,7.734723499999999
F08D12.3,5.8450755
F08D12.7,9.8905735
F08F3.10,5.228820499999999
nspb-12,7.216243
lgc-39,6.8612765
F10G2.1,6.8814285
F10G2.2,9.099622
F10G7.10,3.8769204999999998
pbo-6,5.358643000000001
cal-8,4.738641355
F13A2.5,7.743445
F13B6.1,7.2523575000000005
F13C5.5,8.673917804999999
acp-5,4.8582625
nmgp-1,4.339309565
F13H8.5,4.3169205
F14F9.5,6.0722225
F15E6.5,6.3758785
F15E6.6,6.533425
pud-4,8.1517635
F16B3.2,4.2727205
ceh-49,7.6382734999999995
F18C5.9,4.021762
lgc-4,7.9099375
F18G5.5,10.409379999999999
F19C7.1,6.0745515
F19F10.3,5.1577865
F20A1.10,6.487747000000001
F22B7.1,7.7616055
F22F7.3,8.635300449999999
F23H11.6,8.5358085
gtr-1,6.13941585
F25E2.2,7.4753704999999995
F25E2.3,8.10809805
F25E5.8,10.498076000000001
F25E5.9,8.6184215
F25E5.16,8.666652
nep-12,4.5010915
stn-2,3.3364529999999997
acdh-9,7.4173115
dip-2,5.5422270000000005
F28F5.6,8.9971815
picc-1,7.052863
F31A3.3,8.1696595
mth-2,8.666761000000001
F32A5.4,9.0803455
F32B5.6,7.856923999999999
F35A5.1,9.1903525
mks-3,8.1234304
F35D11.1,8.142665000000001
F35F10.5,5.569530500000001
F35F10.14,8.6575505
npr-7,8.0570795
F35H10.3,11.9313205
F35H10.10,4.483009
F37A4.4,7.3291945
F38B6.2,7.732571
nhr-181,9.4043205
F40A3.4,7.224072
cutl-28,4.0767489999999995
F41B4.1,5.834061
cyp-33C7,2.9882545000000005
nhr-182,6.319089
F41G4.4,7.44912
F41G4.7,3.4962969999999998
F41G4.8,6.7950990000000004
F42A6.1,6.0595715
anmt-2,4.1941005
F42C5.4,8.97235745
F42G2.2,8.7881905
islo-1,4.24660755
hum-10,10.3592845
cyp-33C4,7.835114300000001
F44E7.2,4.2617825
otpl-4,7.721342
tag-257,6.9809975
F46G11.4,3.3235835
F46H5.7,7.72289615
nlp-37,4.92296
F49E10.2,7.2758171
mul-1,8.7791475
F52C9.5,7.735844999999999
F52D1.2,4.7833465
F52H2.4,3.5339195
F52H2.7,8.156177
F53B1.3,7.8610365
F53B3.3,13.365801999999999
F54A3.5,3.4671278
F54H5.2,3.9067344999999998
F55A4.7,9.3183815
F55C12.4,7.117882
npr-28,6.586188999999999
F56F10.2,4.5204655
F56F11.1,6.766695049999999
ipgm-1,5.2775035
F57C12.2,6.299929499999999
acox-3,7.795554
F58F12.3,8.589933
lgc-30,8.992381
F59A7.7,3.9223444999999995
F59E11.5,7.3747355
H03E18.2,9.05338525
H10D18.1,7.8056505000000005
ttr-47,7.706531
H35B03.1,5.705714
H41C03.1,9.743148
K01A2.10,5.031076
K02A6.3,3.2435065
swt-1,5.534921000000001
clec-149,8.9758265
K02F3.9,7.255558499999999
K03B4.1,6.55017745
K03H6.1,7.8205195
K03H6.2,3.2592615
K06A9.2,8.3703195
K06A9.3,9.151504
K07C11.8,8.623986499999999
K07D4.5,8.9285968875
K08B5.2,7.7836145000000005
K09C4.4,7.558382
K09D9.1,7.79734
K09E2.1,7.580496500000001
K09E2.3,6.8415445
K10B4.3,5.2129885
K10C2.2,7.876184499999999
K12H4.2,8.484077
M01B12.4,6.3432235
zig-12,8.737413
M02D8.2,8.694753500000001
M03E7.2,6.3892285
M03F8.6,6.0633799999999995
M04G7.2,7.741355
M60.4,7.8966175
M70.3,10.9710805
mca-2,3.958682
R05F9.6,7.8554829999999995
flp-34,5.1092604999999995
R10H1.1,7.8687045
frpr-16,4.327866
R12C12.5,6.0175525
R12C12.9,4.7580855
T01C8.2,5.186637875
T05A7.1,4.11656
phat-4,4.187044
phat-5,7.9710090000000005
T05B11.1,4.750245
T05E7.4,8.227457000000001
T06A1.1,5.066978000000001
glb-25,4.8172118755
ttr-59,4.8094945
T08B2.12,8.27211
T10B5.8,6.3890365000000005
T10H10.2,10.710842
T13A10.2,8.284727499999999
pho-14,3.5674355
ceh-54,8.4484665
hot-8,6.037333
T14A8.2,9.661433
T14B4.8,3.401658
dop-3,8.538535
T19C3.2,8.11735515
ttr-7,7.713411000000001
T19D2.3,9.3619175
T21H3.5,7.6405805
npr-12,6.8655954999999995
dmd-8,2.8145552050000004
T23E7.2,7.883062499999999
T23F2.2,3.656724
T23F4.2,6.873512
lgc-34,5.529352
nhr-225,4.6769435
fip-2,6.9616205
T28A11.2,4.832918
T28B4.1,9.04179845
T28B4.4,9.094061305
T28C12.6,8.0199046
T28D9.3,7.394575
del-10,7.289485000000001
acd-5,7.974159
W01A11.1,3.0702685
W01C8.1,4.6538824850000005
W02C12.2,6.9514949999999995
W03D8.9,6.4962495
gpa-18,6.319793499999999
W04C9.2,8.552401
W05F2.4,4.179993
btb-5,8.24768
W09G12.7,7.850804
W09G12.9,6.829986
W10C4.1,8.2689775
W10C8.4,11.225295500000001
Y4C6A.3,5.0233527
Y4C6B.4,7.6833555
cyp-32B1,6.6157224
Y18H1A.4,3.027555
Y18H1A.11,8.6169785
gap-3,4.5218050000000005
Y22D7AL.10,3.6457133
Y32H12A.6,6.67333205
Y34B4A.4,4.267862
npr-23,9.36240065
Y37E11AL.9,11.156905
Y37F4.7,7.2557670000000005
nhr-236,7.802512549999999
Y38F2AR.3,3.257612
Y38F2AR.12,7.950326
Y39A3CR.5,8.6064765
nekl-1,8.862671
Y39G10AR.15,8.2255265
comt-3,8.63456579
Y40C5A.3,7.5390595000000005
Y40C7B.3,7.358478
ctsa-2,9.82247
Y41D4A.1,9.4664105
Y41D4A.7,6.0414105
hpo-6,6.700305500000001
aakg-3,7.097389
gbb-1,7.338149
Y41G9A.5,6.004404500000001
Y46E12BR.1,5.92239525
irld-17,9.4343075
Y47D7A.13,10.5561315
Y47G6A.19,6.728310499999999
Y48G1BR.1,7.2481115
Y48G8AL.12,8.029664
Y48G9A.9,6.125366
Y51H7BR.4,4.276237
Y53G8AM.7,7.9858815
Y53G8B.2,6.616377
Y54E10BL.3,7.0125235
Y54F10BM.3,2.531258
fbxa-1,3.5878326305
Y54F10BM.12,5.1540605
dml-1,5.4536999999999995
Y54G2A.11,8.0623485
Y55D5A.4,12.4966995
Y55F3AM.9,4.6446164
Y55F3AM.11,6.888934
cct-8,9.1643665
madf-1,6.8367865000000005
kvs-5,4.3766515
Y58A7A.1,7.1824864999999996
catp-7,6.5578255
Y59H11AR.4,5.894985
Y64H9A.2,10.5583985
Y66H1A.5,8.45825
cpg-9,5.7461554999999995
Y69A2AR.18,9.380517000000001
Y69A2AR.31,7.6364315000000005
Y71F9AR.2,6.516236
drag-1,8.0840705
Y71H2AM.4,6.6624545
set-27,3.3114635
Y71H2AM.14,8.004803899999999
Y71H2AM.15,3.317227
Y71H2B.4,3.3343755
gpa-17,13.80463735
pfk-1.1,9.251237
Y72A10A.1,7.1681945
ipla-6,9.107093500000001
shl-1,5.562073
sfrp-1,4.2048385
