,t1,t2,avg
col-130,1.550000e+02,5.750000e+02,365.0
col-131,330.000000,650.000000,490.0
col-132,155.000000,212.500000,183.75
col-135,1.550000e+02,2.125000e+02,183.75
col-137,4.500000e+02,5.100000e+02,480.0
col-140,3.300000e+02,3.900000e+02,360.0
col-141,3.300000e+02,5.750000e+02,452.5
col-143,1.550000e+02,6.500000e+02,402.5
col-144,510.000000,575.000000,542.5
col-145,1.550000e+02,5.750000e+02,365.0
col-146,4.500000e+02,5.100000e+02,480.0
col-147,1.550000e+02,3.900000e+02,272.5
col-148,1.550000e+02,5.100000e+02,332.5
col-149,2.125000e+02,4.500000e+02,331.25
col-150,155.000000,650.000000,402.5
col-151,5.100000e+02,5.750000e+02,542.5
col-153,510.0000000,575.0000000,542.5
col-154,510.000000,575.000000,542.5
col-155,510.0000000,575.0000000,542.5
col-157,1.550000e+02,5.100000e+02,332.5
col-158,4.500000e+02,5.100000e+02,480.0
col-159,450.0000000,510.0000000,480.0
col-160,1.550000e+02,6.500000e+02,402.5
col-161,270.0000000,510.0000000,390.0
col-162,2.700000e+02,6.500000e+02,460.0
col-164,2.700000e+02,4.500000e+02,360.0
col-165,575.00000,650.00000,612.5
col-166,1.550000e+02,6.500000e+02,402.5
col-167,575.0000000,650.0000000,612.5
col-168,155.000000,650.000000,402.5
col-170,1.550000e+02,6.500000e+02,402.5
col-172,575.000000,650.000000,612.5
col-173,3.900000e+02,4.500000e+02,420.0
col-174,155.000000,450.000000,302.5
col-175,3.900000e+02,4.500000e+02,420.0
col-176,390.0000000,450.0000000,420.0
col-177,5.100000e+02,5.750000e+02,542.5
col-178,2.700000e+02,3.300000e+02,300.0
col-180,390.0000000,450.0000000,420.0
col-181,1.550000e+02,3.900000e+02,272.5
col-182,1.550000e+02,5.100000e+02,332.5
col-186,450.0000000,575.0000000,512.5
col-187,5.100000e+02,5.750000e+02,542.5
coq-1,155.00000,575.00000,365.0
coq-2,155.00000,450.00000,302.5
coq-3,450.0000,650.0000,550.0
coq-4,270.0000,650.0000,460.0
coq-5,212.50000,450.00000,331.25
coq-6,450.0000,650.0000,550.0
coq-8,155.00000,450.00000,302.5
cor-1,155.00000,450.00000,302.5
cpb-1,3.300000e+02,3.900000e+02,360.0
cpb-2,2.125000e+02,3.900000e+02,301.25
cpb-3,390.000000,510.000000,450.0
cpf-1,390.0000,650.0000,520.0
cpf-2,212.5000,650.0000,431.25
cpin-1,450.000000,510.000000,480.0
cpl-1,155.22709,509.98544,332.606265
cpn-1,450.00000,510.00000,480.0
cpn-2,450.00000,650.00000,550.0
cpn-3,2.125012e+02,3.900000e+02,301.2506
cpn-4,575.000000,650.000000,612.5
cpr-1,1.550000e+02,5.750000e+02,365.0
cpr-2,3.900000e+02,4.500000e+02,420.0
cpr-3,4.500000e+02,5.750000e+02,512.5
cpr-4,4.500000e+02,5.100000e+02,480.0
cpr-5,1.550000e+02,4.500000e+02,302.5
cpr-6,450.00000,510.00000,480.0
cps-6,330.0000,575.0000,452.5
cpz-1,390.00000,575.00000,482.5
