"","x"
"591","MSxpppa"
"592","MSpappax"
"593","ABpxppppaa"
"594","ABpxapapap"
"595","ABaraaaaa"
"596","unannotated"
"597","MSxaapa"
"598","unannotated"
"599","ABalpppapa/ABpraaaapa"
"600","ABpxppaapa"
"601","ABalpappaa/ABarapapaa"
"602","ABpxpppaa"
"603","ABalapxpap/ABpxpaaapp"
"604","ABalapxpap/ABpxpaaapp"
"605","ABpxapppaa"
"606","ABarppxapa"
"607","ABarpapapx/ABplaaaapx"
"608","unannotated"
"609","Cxppp"
"610","ABalpapppa/ABarapappa"
"611","unannotated"
"612","ABalpppaaa/ABpraaaaaa"
"613","ABpxpaappa"
"614","ABalapxppap/ABalaappppp/ABalapaappp/ABalppapppp/ABarapppppp"
"615","Cxppaax"
"616","ABpxapappp"
"617","Cxpaa"
"618","ABpxapaaa"
"619","ABalpppaaa/ABpraaaaaa"
"620","Cxaaax/Cxaapa"
"621","MSppaap"
"622","unannotated"
"623","ABalpapap/ABarappap"
"624","ABpxappapa"
"625","ABalppppp/ABpraaapp"
"626","ABpxppaap"
"627","unannotated"
"628","Dxppax"
"629","ABarppxpp"
"630","ABalpaapp/ABaraaapp"
"631","MSappaaa"
"632","ABpxpaaaap"
"633","ABarpaapaa"
"634","ABalppppaa/ABpraaapaa"
"635","MSxppppp"
"636","MSaaaapa"
"637","ABalpaappp"
"638","MSxaapa"
"639","ABalpapppa/ABarapappa"
"640","unannotated"
"641","Cxpaaa"
"642","Dxxa"
"643","MSxpaaap"
"644","unannotated"
"645","Cxaaax/Cxaapa"
"646","ABalapaaap/ABalappapp"
"647","ABarpaaaa"
"648","Eaxaa"
"649","unannotated"
"650","ABalppapaa/ABarapppaa"
"651","unannotated"
"652","MSaaaapa"
"653","unannotated"
"654","unannotated"
"655","MSxpappa"
"656","ABarapapap"
"657","ABalaappap/ABalppaaap"
"658","Dxapa"
"659","unannotated"
"660","ABalpppppp/ABpraaappp"
"661","ABalaaapx"
"662","unannotated"
"663","ABalapaaapa/ABalappappa"
"664","MSxpppa"
"665","MSxapaap"
"666","ABpxaapapp"
"667","ABprpapppap"
"668","unannotated"
"669","ABpxpaapaa"
"670","ABalpapapa/ABarappapa"
"671","ABpxapaaap"
"672","unannotated"
"673","ABalpapapp/ABarappapp"
"674","ABpxpppapa"
"675","MSxpaaa"
"676","unannotated"
"677","unannotated"
"678","ABprpappa"
"679","unannotated"
"680","unannotated"
"681","unannotated"
"682","ABarppxapa"
"683","ABalpppaap/ABpraaaaap"
"684","ABpxaapapa"
"685","unannotated"
"686","MSxppapp"
"687","unannotated"
"688","ABpxppapa"
"689","Cxppap"
"690","MSxppap"
"691","MSxpapap"
"692","Cxppa"
"693","ABpxppaaaap"
"694","Caapa"
"695","ABpxapapaa"
"696","MSpappa"
"697","ABpxaapppp"
"698","Dxppa"
"699","ABalaapap/ABalppaap"
"700","unannotated"
"701","ABarpaaaaa"
"702","MSxppppp"
"703","ABalppapaa/ABarapppaa"
"704","ABalppppp/ABpraaapp"
"705","ABalaapap/ABalppaap"
"706","ABalapxppp"
"707","ABarppxpax"
"708","ABpxapapa"
"709","unannotated"
"710","unannotated"
"711","unannotated"
"712","ABalpappa/ABarapapa"
"713","ABarppxpp"
"714","ABpxappapa"
"715","ABarppxpax"
"716","ABpxaapaa"
"717","MSxpapp"
"718","unannotated"
"719","MSpaaaap"
"720","ABalapxppa"
"721","unannotated"
"722","unannotated"
"723","MSxpapap"
"724","ABpxpppaaa"
"725","unannotated"
"726","MSxapapaa"
"727","ABpxppappp"
"728","Cxaaax/Cxaapa"
