gene_short_name,gene_id,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
zig-12,WBGene00019727,BWM_head_row_1,0.304463015905015,1.98439903802585,0.81,0.375880266549401,0.253998280087033,6.0799949445748296e-30,3.10687741667774e-26
cst-1,WBGene00017472,BWM_head_row_1,0.0767663467593913,0.201779594257362,0.205,0.374469984192153,0.0350835588695935,5.14736430901706e-05,0.263030316190772
har-1,WBGene00007630,BWM_head_row_1,0.201760827024537,0.895147666655051,0.55,0.36683786731734,0.0889533134614754,7.4536155719002e-11,3.808797557241e-07
Y39A1C.1,WBGene00012662,BWM_far_posterior,0.119834661267152,0.455927850008805,0.333333333333333,0.359503983801455,0.0253180301491418,0.02797853995799,1.0
upb-1,WBGene00017440,BWM_posterior,0.118752030875292,0.392404553585277,0.344827586206897,0.344380889538347,0.0591970229700176,8.51710726015567e-08,0.0004352241809939
hlh-1,WBGene00001948,BWM_far_posterior,0.175986474855032,0.671571566174404,0.518518518518518,0.339402487220418,0.0418891591066952,0.0046524216338885,1.0
F22D6.2,WBGene00009050,BWM_far_posterior,0.172008819209446,0.90393406498852,0.518518518518518,0.331731294189647,0.0225317726063036,0.0381986283671297,1.0
nhr-100,WBGene00003690,BWM_far_posterior,0.0731946917590489,0.147769094722786,0.222222222222222,0.32937611291572,0.0145994693744069,0.095420779267761,1.0
Y71H2AM.15,WBGene00022180,BWM_head_row_1,0.134261835994995,0.527667009630786,0.41,0.327467892670719,0.0694850701626429,9.810302595062922e-09,5.01306462607715e-05
Y56A3A.18,WBGene00013236,BWM_far_posterior,0.169051546869575,0.636921797498083,0.518518518518518,0.326027983248465,0.0260045060314472,0.0259276990680318,1.0
madd-2,WBGene00016539,BWM_anterior,0.0829816052179621,0.308047022831103,0.254901960784314,0.325543220470467,0.0130126325229013,0.0263235008009949,1.0
ccch-1,WBGene00009532,BWM_far_posterior,0.0960659836705793,0.203660971769561,0.296296296296296,0.324222694888205,0.0184766001422586,0.0606011141774293,1.0
nhr-1,WBGene00003600,BWM_anterior,0.0886800183568505,0.272913662141377,0.274509803921569,0.323048638299955,0.0191686894075506,0.0069639749038536,1.0
hsf-1,WBGene00002004,BWM_posterior,0.0709601344963606,0.214771094875146,0.219827586206897,0.32279904319913,0.056824260406833,1.5625495467551e-07,0.0007984628183918
D2063.1,WBGene00017060,BWM_far_posterior,0.286680497446874,2.89866212160536,0.888888888888889,0.322515559627733,0.0599788829963291,0.0006961296840073,1.0
unc-105,WBGene00006832,BWM_far_posterior,0.189522726255494,0.884942662599093,0.592592592592593,0.319819600556146,0.0353799607101066,0.0093292467777318,1.0
ctn-1,WBGene00000832,BWM_head_row_1,0.122363475748894,0.482205279018368,0.385,0.317827209737386,0.034068371837663,6.63268746430778e-05,0.338930329426128
mlp-1,WBGene00003375,BWM_head_row_1,0.124443534802132,0.520707260666204,0.395,0.315046923549702,0.0443764570256838,5.08427391418412e-06,0.0259806397014809
gsnl-1,WBGene00010593,BWM_anterior,0.101773206729679,0.376549976280055,0.323529411764706,0.314571729891736,0.0318831403387221,0.0004888245168487,1.0
C16A3.4,WBGene00015809,BWM_posterior,0.0811137087442947,0.260101427115292,0.258620689655172,0.313639673811273,0.0185858011680864,0.0028979231562636,1.0
F13C5.2,WBGene00017423,BWM_anterior,0.0552591031960715,0.236926678703387,0.176470588235294,0.313134918111072,0.0066340919615399,0.113046823743593,1.0
ech-6,WBGene00001155,BWM_head_row_1,0.115349512393078,0.382784167518335,0.37,0.31175543890021,0.0445305326052373,4.89310080751171e-06,0.0250037451263848
tbx-2,WBGene00006543,BWM_anterior,0.0820904026137144,0.313897425708369,0.264705882352941,0.310119298762921,0.0266661500682549,0.0014407807691657,1.0
F26A10.2,WBGene00017814,BWM_head_row_1,0.0863703414570718,0.287860316787617,0.28,0.308465505203828,0.0323281981833287,0.0001024753417607,0.523648996397394
F42C5.9,WBGene00018349,BWM_far_posterior,0.15985278323617,0.52274987102326,0.518518518518518,0.308287510526898,0.0259785507397908,0.0260023329529611,1.0
tni-1,WBGene00006584,BWM_far_posterior,0.308180935905897,8.79591026398906,1.0,0.308180935905897,0.157938532151902,2.96678540872357e-08,0.0001516027343857
unc-73,WBGene00006805,BWM_anterior,0.0834676854807368,0.362015417760503,0.274509803921569,0.304060854251255,0.0079154613369995,0.0834066015393999,1.0
tns-1,WBGene00006508,BWM_head_row_1,0.192946399542355,1.11827345133659,0.635,0.303852597704496,0.0522070704551223,7.25352579212755e-07,0.0037065516797771
eat-6,WBGene00001137,BWM_head_row_1,0.230538033212545,1.64762672520227,0.76,0.303339517384928,0.0894458738002253,6.58410036660523e-11,3.36447528733527e-07
unc-62,WBGene00006796,BWM_anterior,0.0861167931673457,0.44681895322618,0.284313725490196,0.302893548381699,0.0083082808838998,0.076097404544135,1.0
anmt-1,WBGene00015124,BWM_head_row_1,0.0845784246919448,0.314540837431068,0.28,0.302065802471231,0.0276739975908508,0.0003292277485488,1.0
plp-1,WBGene00004046,BWM_head_row_1,0.102461440298026,0.441866789716415,0.34,0.301357177347134,0.0231753493419591,0.0010246699755051,1.0
T20F10.2,WBGene00011864,BWM_head_row_1,0.147075729329947,0.587535959131703,0.49,0.300154549652954,0.0358232841375782,4.27959532653285e-05,0.218687321185829
alp-1,WBGene00001132,BWM_head_row_1,0.181422392139756,0.961275770740383,0.605,0.299871722545052,0.0531053010888933,5.80151413839877e-07,0.0029645737247217
attf-4,WBGene00015477,BWM_anterior,0.0703161660620558,0.256845959630573,0.235294117647059,0.298843705763737,0.0089898002842041,0.0649948368845039,1.0
cpna-1,WBGene00006495,BWM_head_row_1,0.138633720693261,0.656870044829949,0.465,0.298137033748948,0.0315495601427564,0.0001245219561232,0.636307195789777
bcl-11,WBGene00017430,BWM_anterior,0.0584393112835018,0.186342459910059,0.196078431372549,0.298040487545859,0.0054995083723977,0.149146497393811,1.0
zip-2,WBGene00019327,BWM_head_row_2,0.0988299051504394,0.319536116025924,0.333333333333333,0.296489715451318,0.0242083025073707,0.0030755295084189,1.0
clp-1,WBGene00000542,BWM_anterior,0.0638280269849902,0.252035404790614,0.215686274509804,0.295929943294046,0.0077041857454174,0.0876475551109193,1.0
nsy-7,WBGene00044508,BWM_posterior,0.0954448952059445,0.334777376433059,0.323275862068966,0.295242875837055,0.0309043860070535,0.0001184382440378,0.605219427033201
hmg-1.1,WBGene00001971,BWM_far_posterior,0.20756412872586,1.53033533738781,0.703703703703704,0.294959551347275,0.0378325254623019,0.0071702664350896,1.0
unc-27,WBGene00006764,BWM_head_row_2,0.258399296246291,2.93643064047861,0.877777777777778,0.294378945090712,0.0520582881641711,1.31378459416092e-05,0.0671343927616231
bkip-1,WBGene00014569,BWM_far_posterior,0.141307203357758,0.433175040170864,0.481481481481481,0.293484191589189,0.0219806589165341,0.0406454658621651,1.0
twk-18,WBGene00006672,BWM_head_row_2,0.133678707663626,0.689879912420315,0.455555555555556,0.293441065603081,0.0152055195323578,0.0191277854889969,1.0
eva-1,WBGene00009304,BWM_anterior,0.146186559896976,0.655995325138959,0.5,0.292373119793951,0.0269066612946199,0.0013704446613348,1.0
