,BWM_neck,BWM_middle_and_posterior,BWM_anterior,BWM_head,BWM_far_posterior,BWM_posterior
lir-1,14.410747,19.833166,32.59503,9.460188,14.002373,16.201288
lir-2,21.135761,14.461684,36.545944,18.920376,32.672203,14.1761265
lir-3,3.8428657,4.5451007,9.877282,18.920376,0.0,2.025161
lpd-2,24.978628,28.096987,18.766836,18.920376,4.6674576,41.5158
ccar-1,219.04335,250.39372,223.22658,208.12413,191.36577,250.10738
lsy-2,15.371463,24.998055,20.742292,28.380564,28.004745,16.201288
mab-3,0.0,1.2395729,1.9754565,9.460188,0.0,4.050322
mab-5,1.9214329,65.28417,4.938641,0.0,23.337288,210.61674
mab-9,0.9607164,0.20659548,0.98772824,0.0,0.0,0.0
mab-23,0.0,5.3714824,0.98772824,0.0,0.0,5.0629025
mbf-1,140.2646,166.92915,199.5211,141.90282,238.04034,142.77385
mdl-1,601.4085,622.8854,606.46515,832.4965,392.06644,461.7367
mec-3,0.0,0.20659548,0.0,0.0,0.0,1.0125805
med-1,0.0,0.20659548,0.0,0.0,0.0,0.0
med-2,0.0,0.0,0.98772824,0.0,0.0,0.0
mef-2,195.98616,178.91168,140.25742,217.58432,191.36577,154.92482
mex-5,0.9607164,0.61978644,0.0,0.0,0.0,0.0
mex-6,0.9607164,0.0,0.0,0.0,0.0,0.0
mgl-2,8.646448,4.13191,3.950913,75.6815,0.0,2.025161
mig-5,65.32872,72.515015,85.93236,18.920376,9.334915,79.99386
mls-1,0.0,0.20659548,0.0,0.0,0.0,0.0
mls-2,0.0,0.20659548,0.0,0.0,0.0,0.0
mml-1,365.07224,341.08914,348.66806,416.24826,163.36102,282.50995
mnm-2,0.0,0.61978644,0.0,0.0,0.0,0.0
moe-3,6.725015,26.444221,6.914098,0.0,23.337288,12.150966
klf-3,1.9214329,0.0,0.98772824,0.0,0.0,1.0125805
mxl-1,12.489314,10.536369,15.803652,0.0,9.334915,12.150966
mxl-2,23.057194,25.411245,25.680935,37.84075,37.33966,22.27677
mxl-3,737.8302,906.3344,766.4771,908.17804,709.45355,616.6615
nfi-1,73.01445,116.10666,85.93236,18.920376,79.34678,116.446754
ngn-1,0.0,0.20659548,0.0,0.0,0.0,0.0
nhr-1,191.18257,179.94467,177.79108,264.88525,256.71017,148.84933
nhr-2,2.8821492,1.6527638,0.0,0.0,0.0,1.0125805
nhr-3,18.253613,17.354021,32.59503,9.460188,4.6674576,11.138385
nhr-4,32.66436,24.998055,16.79138,37.84075,4.6674576,16.201288
nhr-5,0.0,1.2395729,0.0,0.0,0.0,0.0
nhr-7,0.9607164,1.4461684,1.9754565,0.0,0.0,0.0
nhr-8,0.0,0.61978644,0.98772824,0.0,4.6674576,1.0125805
nhr-9,0.0,0.0,0.98772824,0.0,0.0,0.0
nhr-10,46.114388,51.23568,49.386414,85.14169,37.33966,36.452896
nhr-11,8.646448,15.907852,8.889554,18.920376,4.6674576,2.025161
nhr-12,50.917973,57.226948,62.22688,66.22131,56.00949,66.830315
nhr-13,9.607164,9.503392,5.926369,0.0,23.337288,3.0377414
