Your Input	Sequence Name
nhr-119	K12H6.1
nhr-170	C54E10.5
saeg-2	T23G5.6
nhr-142	F44E7.8
tbx-11	F40H6.4
fax-1	F56E3.4
efl-3	F49E12.6
nhr-181	F38H12.3
rnf-113	K01G5.1
cdc-14	C17G10.4
mbr-1	T01C1.2
nhr-204	R02C2.4
mxl-1	T19B10.11
pos-1	F52E1.1
maf-1	F45H11.6
nhr-37	F44C4.2
R06C1.6	R06C1.6
tbx-32	ZK380.1
dmd-5	F10C1.5
ceh-6	K02B12.1
Y5F2A.4	Y5F2A.4
jun-1	T24H10.7
nhr-19	E02H1.7
ccch-1	F38B7.1
mdl-1	R03E9.1
spe-10	AC3.10
C01F6.9	C01F6.9
ztf-9	ZK287.6
nhr-146	Y41D4B.27
nhr-39	F44A2.4
nfx-1	Multiple entries : 2
C46E10.9	C46E10.9
attf-2	F09G2.9
madf-1	Y55F3BR.5
T24C4.2	T24C4.2
Y17G7B.20	Y17G7B.20
ref-2	Multiple entries : 2
plp-2	F20D1.4
K07A12.1	K07A12.1
nhr-104	R11E3.5
nhr-173	C56E10.1
lin-40	T27C4.4
him-8	T07G12.12
ceh-30	C33D12.7
nhr-21	F21D12.1
ham-2	C07A12.1
mgl-2	F45H11.4
F26A10.2	F26A10.2
ztf-1	F54F2.5
nhr-272	T07C5.2
nhr-230	Y17D7A.1
prx-5	C34C6.6
unc-30	B0564.10
hmg-5	F45E4.9
atg-4.1	Y87G2A.3
nhr-212	T01G6.6
hmg-4	T20B12.8
nhr-196	K06B4.5
nhr-3	H01A20.1
mab-3	Y53C12B.5
tbx-43	Y46E12A.4
vab-7	M142.4
gei-17	W10D5.3
hlh-34	T01D3.2
mef-2	W10D5.1
swsn-2.2	C18E3.2
nhr-263	F10G2.9
rbr-2	ZK593.4
nhr-148	C03G6.10
ekl-4	Y105E8A.17
B0310.2	B0310.2
ceh-57	C07E3.5
K11H3.4	K11H3.4
B0238.11	B0238.11
nhr-51	K06B4.1
nhr-5	Y73F8A.21
mxl-2	F40G9.11
syd-9	ZK867.1
dhhc-14	D2021.2
F10E7.11	F10E7.11
sbp-1	Y47D3B.7
