"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero"
"sri-67","sri-67",0.000371580031352978,0.000385919448875232,-204.662989564173,-216.053876348233,7,2,1097.55580478535,0,0,0,0.000212344871694573,0.000342595243853904,0.118254294291342,0.121001426738859,TRUE,FALSE,FALSE
"sri-73","sri-73",3.10157843336842e-09,3.50979544604327e-09,-210.622776536093,-234.766974705682,7,2,1093.58723477092,0,0,0,0.0250354573772556,0.0317342827786396,6.82144315939155e-09,8.30452236614946e-09,FALSE,TRUE,FALSE
"srj-4","srj-4",2.97216138584995e-27,4.37373014160539e-27,-231.610678798745,-298.738666580798,7,2,1087.19967518748,0,0,0,1.2882085817727e-12,4.01376315167331e-12,3.92814245726791e-17,5.56610570041451e-17,TRUE,FALSE,FALSE
"srj-5","srj-5",3.0549406606509e-08,3.400918333703e-08,-206.907167790592,-228.610917956103,7,2,1050.90048206175,0,0,0,9.02297727779416e-06,1.6580350700481e-05,0.000156064227897191,0.000172016369337524,TRUE,FALSE,FALSE
"srj-9","srj-9",6.74580240497453e-191,7.08001826631474e-190,-198.518653709974,-645.275179447935,7,2,1013.63894674882,0,0,0,7.14019392055201e-08,1.58375159869591e-07,3.10628576160213e-186,3.64192238274822e-185,FALSE,TRUE,FALSE
"srj-11","srj-11",7.92925421861905e-07,8.60733332828481e-07,-206.976893101848,-225.17279284816,7,2,1023.32631407031,0,0,0,0.00395153087338683,0.00555045998169113,1.32068339992743e-05,1.49366753825102e-05,FALSE,TRUE,FALSE
"srj-14","srj-14",3.81083797468697e-37,6.51479522692774e-37,-201.921210195569,-292.266338874085,7,2,1011.97246831531,0,0,0,0.000125623251192274,0.000207199962397242,4.72990152588596e-35,9.28867614798483e-35,FALSE,TRUE,FALSE
"srj-23","srj-23",1.57140185548642e-16,1.97571122385716e-16,-207.98839692509,-249.725927369862,7,2,964.796943097965,0,0,0,4.49616807109202e-07,9.32733566774861e-07,9.94706918627128e-12,1.28121366532342e-11,TRUE,FALSE,FALSE
"srj-52","srj-52",0.00171048326067598,0.00175993749332126,-207.087789914178,-216.723653360931,7,2,1018.07877553681,0,0,0,0.00195434431549404,0.00284273073266078,0.0786808220804143,0.0808885614921471,FALSE,FALSE,FALSE
"srm-1","srm-1",3.64060959910895e-133,2.16011289463509e-132,-253.184401456469,-566.476874599881,7,2,1149.8454576614,0,0,0,8.36429988989935e-16,3.19831305799496e-15,1.95921319059703e-120,1.19457170369193e-119,TRUE,FALSE,FALSE
"srn-1","srn-1",0.000164838225724756,0.000172208997272296,-207.645093520517,-219.955886606244,7,2,1071.79527511499,0,0,0,0.000681128328560973,0.00104367168374978,0.0182453122036823,0.0190710418229632,FALSE,FALSE,FALSE
"sro-1","sro-1",3.67249014417027e-08,4.08248611323741e-08,-206.420002403985,-227.926570957779,7,2,1031.44317928204,0,0,0,8.55293313129524e-06,1.57579240010983e-05,0.000198238859092098,0.00021795053177547,TRUE,FALSE,FALSE
"srp-1","srp-1",0,0,-150.072070170288,-1159.63047441762,7,2,1073.01854923443,0,0,0,9.32475515953888e-69,5.25609713031211e-67,0,0,TRUE,FALSE,FALSE
"srp-2","srp-2",1.25991852044413e-50,2.64227220867436e-50,-248.004875522671,-369.834623893513,7,2,997.751074343992,0,0,0,5.75918146457187e-15,2.08656562198735e-14,2.28729525458206e-38,4.7640163823149e-38,TRUE,FALSE,FALSE
"srp-3","srp-3",1.54369240338881e-219,2.10184672593168e-218,-182.595939841354,-695.506289795117,7,2,1058.96308341514,0,0,0,2.55275604941755e-09,6.28002140586912e-09,1.73072837874858e-213,2.58822562094675e-212,FALSE,TRUE,FALSE
"srp-6","srp-6",7.20391503744351e-26,1.03571135573555e-25,-211.863672393602,-275.730162724207,7,2,1013.79089031105,0,0,0,0.00503345087224848,0.00698616112884355,3.17132894094552e-25,5.21417581407268e-25,FALSE,TRUE,FALSE
"srp-7","srp-7",7.17455969563177e-13,8.56177932143606e-13,-203.993233885269,-236.960012172974,7,2,1033.33815030317,0,0,0,0.0110794641941153,0.0147820940390079,2.66214997378013e-12,3.46156797284316e-12,FALSE,TRUE,FALSE
"srp-8","srp-8",5.11868324276719e-38,8.87770764460998e-38,-232.267904743593,-324.653710063038,7,2,1110.86851768773,0,0,0,5.36730484419094e-11,1.48466577544959e-10,1.32365903015634e-29,2.36702243207435e-29,FALSE,TRUE,FALSE
"srr-1","srr-1",1.10991311083466e-41,2.03884563124038e-41,-228.283388352203,-329.237228769426,7,2,1107.79912964594,0,0,0,0.290324497063053,0.316708703285524,5.59012899253029e-43,1.2549571019159e-42,FALSE,TRUE,FALSE
"srr-2","srr-2",6.5686696886686e-49,1.34212324526016e-48,-218.178630922109,-336.004825578483,7,2,981.567382953688,0,0,0,1.22198752070645e-28,9.49381244400422e-28,4.59746741328622e-23,7.26126894969993e-23,TRUE,FALSE,FALSE
"srr-3","srr-3",7.7426505717507e-65,1.98031524460087e-64,-264.513843707241,-419.424386797035,7,2,981.802202202285,0,0,0,3.33246902399952e-13,1.07359578608905e-12,2.01884081292186e-54,5.40178136848354e-54,FALSE,TRUE,FALSE
"srr-4","srr-4",1.03058997127124e-17,1.31826873973368e-17,-233.012776002701,-277.570559918613,7,2,1091.82080092011,0,0,0,3.49171941216617e-11,9.82202209798131e-11,6.66987588379065e-09,8.12245574275488e-09,TRUE,FALSE,FALSE
"srr-6","srr-6",1.61196326172069e-44,3.08664446397426e-44,-209.617903943737,-317.200815079602,7,2,1043.56876585211,0,0,0,1.42686468611697e-07,3.08965555472017e-07,1.44285554674773e-39,3.06298054636821e-39,FALSE,TRUE,FALSE
"srr-8","srr-8",4.49781259031304e-09,5.07518980670795e-09,-210.463519081397,-234.212278216509,7,2,1060.02086054875,0,0,0,7.17611722290763e-06,1.33248313465208e-05,2.73947608185324e-05,3.07649557057165e-05,TRUE,FALSE,FALSE
"srr-9","srr-9",6.74017924528557e-52,1.44147558521158e-51,-269.507985860206,-394.301629161658,7,2,952.665180704555,0,0,0,7.59321703011226e-11,2.07510174169249e-10,9.55387223470444e-44,2.17232685889521e-43,TRUE,FALSE,FALSE
"sars-2","sars-2",5.78486597928149e-06,6.1944752209895e-06,-203.775613349107,-219.804863775351,7,2,923.394649568594,0,0,0,0.717551976541214,0.740946413900904,7.01981391655872e-07,8.18326850450815e-07,FALSE,TRUE,FALSE
"sars-1","sars-1",6.71343130856879e-16,8.36054276751158e-16,-207.300385374505,-247.531979872356,7,2,1010.56281549345,0,0,0,0.0408091781538361,0.0502163774534762,5.74618961559602e-16,7.97128670450249e-16,FALSE,TRUE,FALSE
"sru-2","sru-2",4.54621876544361e-30,6.97929651630477e-30,-196.797302106672,-270.547164045698,7,2,1106.36468679996,0,0,0,0.00195630902375375,0.00284533180908825,4.46411255399587e-29,7.89706556380637e-29,FALSE,TRUE,FALSE
"sru-7","sru-7",0.000239030472330828,0.000249137534392273,-206.984705663081,-218.87596931337,7,2,1012.92821283422,0,0,0,9.05275739135017e-05,0.000151515263606682,0.160255933837211,0.163615320417333,TRUE,FALSE,FALSE
"sru-8","sru-8",3.84800913104161e-07,4.20112117035905e-07,-239.614451160008,-258.593239285031,7,2,1069.15010432567,0,0,0,0.372169582331467,0.399716578065661,7.55882783956308e-08,9.00301910613937e-08,FALSE,TRUE,FALSE
"sru-9","sru-9",0.0190183232602116,0.0192632815580467,-203.754714124877,-210.51116316817,7,2,978.066710132455,0,0,0,0.0440347658026777,0.0539221009878441,0.0638475124295264,0.0658069015968541,FALSE,FALSE,FALSE
"sru-17","sru-17",5.77398094263093e-15,7.09198832580215e-15,-199.630827868986,-237.626999369651,7,2,1085.98708676059,0,0,0,0.136955337514319,0.15694178248993,1.57927610003388e-15,2.17286933589197e-15,FALSE,TRUE,FALSE
"sru-20","sru-20",2.15752441579332e-122,1.13850903787247e-121,-280.270432285756,-568.633698084215,7,2,1174.83683444551,0,0,0,4.23773768390548e-31,3.75985521201102e-30,2.2982111918322e-94,1.03838179998674e-93,TRUE,FALSE,FALSE
"sru-27","sru-27",5.6757729404487e-47,1.12864358669019e-46,-225.259681663606,-338.568677938055,7,2,1023.57602344915,0,0,0,2.12841187437576e-23,1.23114918646615e-22,2.57915048599688e-26,4.32388570972916e-26,TRUE,FALSE,FALSE
"sru-29","sru-29",0.000221343183554042,0.000230866554223261,-205.818400681115,-217.796592807406,7,2,981.892799200106,0,0,0,0.00591342648921395,0.00814650046424697,0.00335061521689661,0.00356936945163486,FALSE,FALSE,FALSE
"sru-35","sru-35",1.86558046353035e-157,1.40866616639685e-156,-188.046938651816,-557.516703619141,7,2,1188.65204774236,0,0,0,9.81576350769639e-63,4.13159069210375e-61,6.03285109270575e-98,2.86889653290588e-97,TRUE,FALSE,FALSE
"sru-38","sru-38",7.03688981626666e-14,8.51984233781711e-14,-196.192726686809,-231.584879204483,7,2,1106.9136100094,0,0,0,9.57280379916634e-05,0.00015988724621463,2.61528036568074e-11,3.33815793944095e-11,TRUE,FALSE,FALSE
"sru-39","sru-39",2.68646554090581e-66,7.02604006893943e-66,-215.10061243338,-373.404554991001,7,2,1173.12867961022,0,0,0,3.10658892633915e-15,1.14419282799894e-14,7.23851973843743e-54,1.91927922209457e-53,TRUE,FALSE,FALSE
"sru-40","sru-40",3.43407319271511e-121,1.78987047978533e-120,-325.170246166679,-610.751650979716,7,2,1197.07079073326,0,0,0,1.27295733802611e-62,5.31641068557487e-61,1.00111921961535e-61,2.95370478393467e-61,TRUE,FALSE,FALSE
"sru-44","sru-44",6.80421634216135e-91,2.45888302290928e-90,-184.545434406221,-399.944144402176,7,2,853.17427982971,0,0,0,0.154856755194417,0.176054002150155,3.03249493151181e-92,1.33279309680758e-91,FALSE,TRUE,FALSE
"sru-47","sru-47",1.09785605040001e-54,2.44657691298016e-54,-197.563283890758,-328.852342230094,7,2,1007.84368841553,0,0,0,4.40059657512425e-33,4.29951620530776e-32,1.86949085022555e-24,3.03077855958227e-24,TRUE,FALSE,FALSE
"sru-48","sru-48",3.911293474991e-230,5.82753808783087e-229,-175.449749684518,-712.828615149165,7,2,1090.46371658635,0,0,0,1.56592765993057e-23,9.12335374258792e-23,6.61098648686507e-210,9.61007332324182e-209,TRUE,FALSE,FALSE
"srv-1","srv-1",3.93193573201359e-16,4.91179666298265e-16,-223.029102610509,-263.815726904904,7,2,1015.19895707359,0,0,0,5.81225233624396e-11,1.60169777628357e-10,1.60251150715102e-07,1.89330069672272e-07,TRUE,FALSE,FALSE
"srv-2","srv-2",4.07809554817551e-31,6.36674204262419e-31,-212.921271981759,-289.13094668339,7,2,1053.67529452513,0,0,0,2.26841907911615e-27,1.63182436298221e-26,1.58206253280216e-06,1.82932363300126e-06,TRUE,FALSE,FALSE
"srv-4","srv-4",2.2899618547267e-10,2.63877591565755e-10,-205.568800940705,-232.475193506474,7,2,993.459036669419,0,0,0,9.97951943783807e-05,0.000166284064968876,1.00867354902373e-07,1.19758626335334e-07,TRUE,FALSE,FALSE
"srv-6","srv-6",6.61568559425716e-123,3.50711829875106e-122,-204.241593189886,-493.79310910396,7,2,1095.36103983687,0,0,0,3.46368684081599e-06,6.61980978788317e-06,9.64485336280042e-120,5.83432199105837e-119,FALSE,TRUE,FALSE
"srv-7","srv-7",1.00229631273289e-43,1.89737187148507e-43,-197.183993753845,-302.913657718899,7,2,988.680785896749,0,0,0,1.17384129121383e-15,4.44317808303784e-15,9.87980988018419e-31,1.79989168356254e-30,TRUE,FALSE,FALSE
"srv-8","srv-8",8.67214230196542e-24,1.20895543107908e-23,-203.386884004537,-262.344692951689,7,2,1075.33442586352,0,0,0,1.15606153981711e-22,6.45768124857642e-22,0.000743853182729144,0.000804809205287016,TRUE,FALSE,FALSE
"srv-10","srv-10",3.13665467138493e-110,1.42841836037843e-109,-196.500168894083,-456.704650232538,7,2,1195.30941289719,0,0,0,0.085364106715047,0.100375985729633,2.10011652061307e-111,1.1666429506824e-110,FALSE,TRUE,FALSE
"srv-13","srv-13",1.25390544470456e-83,4.12787618421119e-83,-203.651664411836,-402.199370630338,7,2,1199.69426407064,0,0,0,2.64082804364412e-08,6.05435561678722e-08,3.40951677257281e-78,1.26326867135478e-77,FALSE,TRUE,FALSE
"srv-24","srv-24",0.146444012951657,0.147027709584211,-203.384079528373,-207.475486676429,7,2,920.534393778455,0,0,0,0.419280805561038,0.447482679010228,0.0918817959552539,0.0942675766941163,FALSE,FALSE,FALSE
"srv-25","srv-25",1.61924401121002e-15,2.00459474003354e-15,-249.260608825525,-288.578151835867,7,2,1082.91788006384,0,0,0,3.5881137355022e-12,1.08099386152179e-11,9.87284489715482e-06,1.12068816073111e-05,TRUE,FALSE,FALSE
"srv-31","srv-31",1.30664553712537e-101,5.35990654045754e-101,-226.292167913348,-466.529796362559,7,2,1066.45468953751,0,0,0,3.20473117278724e-15,1.17899295382253e-14,2.35328713295042e-89,9.95469479671838e-89,FALSE,TRUE,FALSE
"ops-1","ops-1",3.4410465389637e-109,1.54564255376522e-108,-193.124240467795,-450.919619233142,7,2,1161.43899603427,0,0,0,0.00858568747262429,0.011615463892764,2.30153609825094e-109,1.24884091012802e-108,FALSE,TRUE,FALSE
"srw-12","srw-12",2.8888157632274e-29,4.38064141839798e-29,-201.58813986207,-273.450506773385,7,2,984.662485280059,0,0,0,3.65704625676524e-08,8.3023859604721e-08,1.42218157188452e-23,2.26640857259296e-23,FALSE,TRUE,FALSE
"srw-14","srw-14",1.23550053736309e-13,1.48960467899412e-13,-205.706439316712,-240.511301909477,7,2,1027.03912219694,0,0,0,3.10047256911352e-09,7.56626071551303e-09,1.1225493683611e-06,1.30350921035434e-06,TRUE,FALSE,FALSE
"srw-15","srw-15",0.000129463844939172,0.000135560317242426,-206.023362434754,-218.605958484848,7,2,985.484603853669,0,0,0,0.000353673570571449,0.000557174985945698,0.0258975156607583,0.0269507359090494,TRUE,FALSE,FALSE
"srw-23","srw-23",1.1770562645588e-07,1.29905689333555e-07,-197.820549576122,-218.076735184561,7,2,1013.61931012619,0,0,0,0.0124980376420828,0.0165609785326333,5.9141409027623e-07,6.90532813018259e-07,FALSE,TRUE,FALSE
"srw-44","srw-44",0.00276247043592214,0.00283401972110862,-202.598634300464,-211.674356463471,7,2,1023.23695007631,0,0,0,0.0113887699319338,0.0151696571158147,0.0267321739624538,0.0278085678807974,FALSE,FALSE,FALSE
