,t1,t2,avg
ztf-22,2.084046,7.119063,4.6015545
Y48C3A.12,6.448834,9.863844,8.156339
lin-38,5.955074,8.975573,7.4653235
ing-3,7.115036,7.706574,7.410805
mcd-1,0.4586686,3.3161857,1.88742715
zip-7,0.9494897,3.0459572,1.99772345
sta-1,2.014543,4.808341,3.411442
dxbp-1,5.490646,7.259857,6.3752515
eyg-1,1.1136874,6.5227902,3.8182388
Y53H1A.2,4.867789,6.872571,5.87018
Y56A3A.18,1.076721,5.915013,3.495867
Y56A3A.28,3.0243,7.496906,5.260603
Y57A10A.31,3.533883,12.50744,8.020661500000001
ccch-5,1.683895,10.24388,5.9638875
Y60A9.3,4.123016,7.468354,5.795685
memi-2,6.376543,6.715614,6.5460785
aptf-2,1.78118,10.772205,6.276692499999999
ceh-91,2.02818516,9.86387701,5.946031085
ztf-29,0.1545429,7.108407,3.63147495
Y67H2A.10,4.933318,7.211069,6.0721935
zip-12,-3.20908614,7.06604769,1.928480775
Y79H2A.3,0.2217565,6.961572,3.59166425
ceh-51,1.746979,7.088674,4.4178265
nhr-243,8.628546,8.628698,8.628622
atg-4.1,-1.9763061,8.9099146,3.46680425
Y105C5A.15,-3.610584,11.002858,3.696137
hlh-32,-9.652402,18.91772,4.632658999999999
ekl-4,4.705761,14.90888,9.8073205
madf-10,6.913585,6.913928,6.9137565
Y111B2A.10,6.646997,6.647472,6.6472345
dct-13,3.410532,5.98851,4.699521
Y116A8C.19,0.7014181,3.1943446,1.94788135
Y116A8C.20,4.971373,7.398008,6.1846905
athp-3,8.036545,0.7905708,4.4135579
ceh-74,4.1023601,4.788071,4.44521555
atfs-1,1.990139,6.254509,4.122324
ztf-9,6.4399003,10.6332706,8.53658545
klu-1,6.499107,10.20645,8.3527785
hizr-1,8.310935,8.04173,8.176332500000001
ZK673.4,7.093072,8.002141,7.5476065
nhr-255,10.06489,10.08501,10.07495
dhhc-4,7.247705,15.7689,11.5083025
sdz-38,6.846314,8.863357,7.8548355
ttll-4,6.00307,10.533582,8.268326
ZK1320.3,4.572105,6.496148,5.534126499999999
B0238.11,2.6837572,7.1608996,4.9223284
B0261.1,2.240745,6.247099,4.243922
B0310.2,0.6603587,8.8618467,4.7611027
B0336.7,6.762941,1.952921,4.357931
gmeb-1,7.401292,7.729012,7.565151999999999
C02F5.12,3.9189538,3.9312493,3.92510155
nhr-147,8.838288297,9.158730479,8.998509388
nhr-148,7.10089,10.74882,8.924855
C04F5.9,8.9439,9.209499,9.0766995
attf-4,1.916205,5.824849,3.870527
nhr-76,5.9621736368,7.9657030019,6.96393831935
ztf-30,2.803365,9.025807,5.914586
C06E2.1,4.5242655,7.8255866,6.17492605
ceh-53,3.87242,8.968161,6.4202905
nhr-152,8.215424,11.70293,9.959177
sox-4,0.3302255,8.691339,4.510782249999999
C16A3.4,5.743201,7.383381,6.563291
nhr-156,-0.1766367,7.131162,3.47726265
nhr-158,8.95353,8.996437,8.9749835
ceh-48,-8.0525261,9.4165723,0.6820231000000003
swsn-2.2,3.482683,21.88337,12.6830265
elt-7,7.046397,8.942353,7.994375
elf-1,5.35377,14.70036,10.027065
nhr-30,9.097226,8.898673,8.9979495
nhr-258,1.989431,6.549744,4.2695875
flh-2,6.094529,6.094556,6.094542499999999
dpff-1,1.873398,5.849887,3.8616425
nhr-161,0.2719986,8.23662,4.2543093
nhr-139,8.051054,6.475805,7.263429500000001
