,90_160,160_210,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
mls-1,74,815,1037,222,815,1185,1037,1111,1037,2667
mls-2,2390,110,1324,699,772,588,1066,441,919,1691
mml-1,1060,757,940,726,1293,1199,946,675,1647,757
mnm-2,1132,2642,1132,755,943,1321,566,1132,189,189
moc-1,2473,788,870,734,761,1386,1413,707,516,353
moc-2,947,1331,1775,1834,1612,1346,370,266,325,192
mod-1,238,952,238,714,238,2143,1190,714,1905,1667
mod-5,323,968,3226,2581,645,323,968,323,323,323
moe-3,1417,315,236,157,79,709,1417,2283,1654,1732
mog-1,2263,1426,1565,1257,1052,605,323,287,262,959
mog-2,1800,1809,1600,1768,1219,634,339,296,356,178
mog-3,1515,2078,1590,1776,1052,529,388,325,342,405
mog-4,2070,2019,2173,1704,1017,315,249,88,212,154
mog-5,2039,1643,1827,1417,1036,508,358,636,268,268
mom-1,2871,1198,2776,703,817,38,76,171,875,475
mom-2,1089,1017,1183,1896,2295,1780,678,39,8,15
mom-4,637,1759,1530,1885,1583,1192,593,260,276,284
mom-5,3708,1029,1345,901,515,199,257,982,526,538
dapk-1,24,119,499,309,166,1378,1829,2779,1235,1663
mpk-1,812,571,991,936,984,1005,1259,640,613,2189
mpk-2,238,238,238,238,238,1190,952,238,238,6190
mpz-1,65,9,13,13,87,564,2147,2524,2507,2073
mre-11,3561,1389,2576,1338,379,177,177,51,76,278
mrg-1,1702,2044,1687,1639,1049,560,422,385,349,162
mrp-1,660,1397,1641,1381,1426,1013,821,574,714,373
mrp-2,463,1481,1204,370,556,463,185,741,1204,3333
mrp-3,161,161,161,161,323,484,1290,2742,161,4355
mrp-4,263,789,526,263,526,1316,1053,1579,263,3421
mrp-5,2082,1826,2184,1580,1369,396,120,188,214,41
mrp-6,261,165,14,138,440,977,2215,1582,2627,1582
mrp-7,1556,1111,778,1556,667,778,111,111,556,2778
mrp-8,2574,956,1912,662,294,147,368,221,221,2647
mars-1,983,1274,1655,1494,1247,1209,631,569,396,540
mrt-2,1678,1275,1678,1678,906,503,268,805,302,906
msh-2,968,1935,2258,806,806,323,323,645,161,1774
msh-5,3475,1631,1773,709,993,780,213,142,213,71
msh-6,4148,1468,2361,996,287,72,92,257,62,257
msi-1,3636,779,130,260,390,519,2468,649,1039,130
msp-3,833,833,833,833,833,833,2500,833,833,833
msp-31,4118,588,588,588,588,588,588,1176,588,588
msp-36,909,909,909,909,909,909,1818,909,909,909
msp-40,667,1333,667,2000,1333,667,667,1333,667,667
msp-45,500,1500,4500,500,500,500,500,500,500,500
msp-53,833,833,833,2500,833,833,833,833,833,833
msp-55,667,3333,667,667,667,667,1333,667,667,667
msp-56,769,3077,769,769,769,769,769,769,769,769
msp-76,435,3913,435,1739,1304,435,435,435,435,435
msp-78,385,1923,385,769,385,385,385,4615,385,385
msp-142,3571,714,714,714,714,714,714,714,714,714
mtd-1,357,1786,357,714,714,714,2143,357,1429,1429
mtk-1,1337,1459,1530,1361,1286,877,570,511,712,358
mtl-1,625,625,625,625,625,1250,1875,625,625,2500
mtl-2,370,741,370,1111,370,1111,1481,370,1481,2593
mtm-1,909,1064,954,1196,1046,1105,927,1169,1064,566
mtm-3,1384,1408,1415,1513,1136,756,591,711,649,437
mtm-5,1046,644,512,693,1073,686,824,1551,2098,873
mtm-6,1130,1694,1462,1628,1196,930,764,565,299,332
mtm-9,1496,1008,1622,1654,1118,803,630,567,740,362
klf-3,606,1212,505,303,505,404,505,303,2424,3232
mua-3,815,815,598,1141,815,924,1304,652,1685,1250
mua-6,115,690,805,805,345,460,230,1609,575,4368
mup-2,0,5,14,23,235,852,1442,1682,2394,3352
mup-4,2148,593,741,1111,296,741,519,2222,741,889
mut-2,1504,2743,1416,1327,1416,265,354,88,796,88
mut-7,2403,1953,1545,1781,944,279,258,687,86,64
mut-14,2308,962,1154,769,1538,962,577,192,192,1346
mut-16,2166,1381,1597,1507,1200,776,505,532,171,162
mxl-1,983,1437,1662,1537,1415,1254,754,386,293,279
mxl-2,996,1343,1449,1419,1208,574,762,770,702,777
mxl-3,812,74,185,92,92,166,1716,1900,2601,2362
myo-2,412,52,361,52,412,619,1392,670,3351,2680
myo-3,2,22,21,53,467,1291,1743,1538,1976,2887
nab-1,390,463,919,826,1213,1596,1424,1327,1282,560
nac-1,435,1304,435,870,435,870,870,1739,435,2609
nac-2,3132,440,2033,1319,385,330,440,220,1044,659
nac-3,27,27,27,27,240,987,1200,1840,907,4720
nas-1,962,192,192,192,769,1538,1731,385,192,3846
nas-3,3750,625,625,1250,625,625,625,625,625,625
nas-4,110,330,110,330,110,989,3407,3956,110,549
nas-5,1818,455,455,455,909,909,455,455,3636,455
nas-6,1928,783,2530,964,301,301,482,1205,1084,422
nas-7,156,156,156,156,469,1406,1250,625,5156,469
nas-8,1705,227,1023,1023,341,341,227,2159,1705,1250
nas-11,769,769,769,1538,2308,769,769,769,769,769
nas-12,816,102,204,102,408,1020,510,816,4490,1531
nas-13,345,345,345,345,345,2069,2414,1379,2069,345
nas-14,3478,870,217,435,217,1087,870,2174,217,435
nas-15,233,233,233,233,233,930,465,233,4419,2791
nas-19,769,2308,769,769,769,1538,769,769,769,769
nas-23,161,161,161,806,4355,2742,645,161,161,645
nas-24,909,909,909,909,909,909,1818,909,909,909
nas-28,17,1244,232,995,3184,1774,182,464,713,1194
nas-29,303,303,303,303,303,606,303,303,1515,5758
nas-30,109,435,543,326,978,4783,2283,217,109,217
nas-31,345,345,345,345,345,690,1034,3103,345,3103
nas-32,833,833,833,833,833,1667,833,1667,833,833
nas-33,769,769,769,769,769,1538,2308,769,769,769
nas-36,714,918,1122,2041,2143,1020,510,1224,204,102
nas-38,588,588,588,588,1176,588,1176,588,588,3529
nas-39,86,391,198,559,1784,2426,1840,1553,899,263
nca-2,556,556,556,556,1111,556,556,556,2222,2778
ncl-1,1562,353,341,527,822,1638,1076,1088,1192,1400
ncr-1,130,390,1429,1429,260,779,390,649,519,4026
ncr-2,4545,455,455,455,455,455,909,1364,455,455
ncs-1,23,23,23,23,23,138,1382,3226,3410,1728
ncs-2,171,272,234,253,461,664,1865,1972,2358,1751
ncs-3,204,23,23,23,317,882,905,339,2104,5181
ncx-1,388,138,12,38,25,88,988,2212,3088,3025
ncx-2,9,123,57,66,19,199,484,1006,3046,4991
ncx-3,3713,1088,1019,708,415,380,415,898,380,984
ncx-4,51,51,51,51,101,51,101,101,657,8788
ncx-5,417,833,2917,2917,417,417,417,417,833,417
ncx-7,294,294,294,294,294,294,882,882,4412,2059
ncx-10,3750,625,625,625,625,625,1250,625,625,625
ndc-80,2538,2284,2325,1861,602,66,50,126,75,72
ndg-4,1486,2297,1351,270,946,405,1757,270,811,405
ndx-1,3,99,33,248,745,1818,1328,2262,2382,1080
ndx-2,1714,1429,1429,286,857,286,286,286,3143,286
ndx-3,741,657,958,1052,1136,1275,1231,1030,902,1019
ndx-4,526,1344,1030,1263,1467,1259,988,941,725,458
dcap-2,1319,1505,1705,1430,1304,953,492,437,559,295
ndx-6,2632,1708,1408,1120,970,562,541,387,412,258
ndx-7,910,774,1192,1180,1623,1205,1020,897,608,590
ndx-8,2273,606,1061,455,758,1970,455,1061,1061,303
ndx-9,823,2005,1715,1530,1205,718,406,371,498,730
ned-8,4612,834,930,717,745,383,389,386,482,522
nex-1,1564,1193,617,617,905,1193,905,247,1029,1728
nex-2,1001,1186,1214,1260,1446,1121,686,751,278,1057
nex-3,94,283,94,94,377,1792,189,472,5000,1604
nex-4,63,63,63,63,127,759,1899,2468,2468,2025
nfi-1,959,1428,2027,1611,1245,965,508,554,234,468
nfm-1,581,1361,1092,1442,1401,1215,1083,683,552,590
nft-1,478,1512,1195,1606,1590,1167,873,684,311,584
ngn-1,1113,1113,1996,866,1166,495,300,1378,336,1237
ngp-1,1882,1608,1685,1576,1202,678,280,348,368,372
nhl-1,15,41,100,120,804,2648,1938,2116,1522,697
nhl-2,1456,1122,883,1217,835,1002,1050,716,644,1074
nhl-3,1018,721,668,657,573,573,1389,1188,1686,1527
nhr-1,412,72,263,232,495,1324,1680,1551,1468,2504
nhr-2,6383,218,1902,52,364,281,73,343,301,83
nhr-3,181,172,98,219,228,553,1279,1414,1860,3995
nhr-4,457,736,616,1034,1809,1292,577,974,1252,1252
nhr-5,769,769,769,769,1538,769,769,769,769,2308
nhr-6,400,400,400,400,800,1200,4800,800,400,400
nhr-7,4167,556,278,556,556,278,556,1389,833,833
nhr-8,632,575,402,632,172,517,805,1724,1092,3448
nhr-9,833,833,833,833,833,2500,833,833,833,833
nhr-10,970,1099,1112,1235,1183,1028,1028,627,860,860
nhr-11,27,108,27,108,217,379,1734,1897,2656,2846
nhr-12,1272,1072,175,499,923,1446,1721,673,1496,723
nhr-13,815,903,771,969,859,1520,1740,1233,639,551
nhr-14,189,755,1698,2075,377,943,377,1509,755,1321
nhr-15,2016,1423,2213,1146,514,356,1265,474,395,198
nhr-16,1282,256,256,256,1282,256,769,769,3077,1795
