,slope,interecept,r,p,std_err,r^2
zip-11,-6.727045684004168e-05,0.07303969783207745,-0.4815140980866582,0.27392728555078494,5.4758524583019716e-05,0.23185582665620788
tbx-9,4.506732975555966e-05,0.005899329219077366,0.2857558730006588,0.5344470951237004,6.759028178690027e-05,0.08165641895436863
tlp-1,2.916939537462478e-05,0.019500529538932786,0.21207970675183588,0.6480042364600389,6.0110458946092486e-05,0.0449778020159447
tnt-4,-4.46044995405256e-06,0.03727993362047417,-0.03645381558444146,0.938155191891854,5.468420741988594e-05,0.001328880670664467
tra-1,1.4819941965325012e-05,0.024544561899748817,0.08451672128794364,0.8570318525901934,7.813798261792788e-05,0.0071430761772639465
ttx-3,7.770817428965262e-05,-0.015514020232530786,0.488515765566401,0.265977853278694,6.207203228974585e-05,0.23864765320692682
unc-3,8.596912028426148e-05,-0.008023032881333096,0.6404064846244069,0.12126969750714277,4.610875799669332e-05,0.4101204655489907
unc-15,8.32532936347486e-06,0.034283743124364385,0.07298533217055668,0.8764259968857935,5.0876945343163605e-05,0.005326858712046496
nhr-41,-7.85786774183667e-06,0.024907517214237583,-0.050418663610407484,0.9145153677397173,6.961064892423041e-05,0.002542041640259428
unc-63,0.00011620737905409545,-0.02179849865349507,0.834149539506274,0.019634795930317712,3.436216358905053e-05,0.695805454258529
ceh-99,2.506956084053177e-05,0.031004731790540953,0.18099606853199626,0.6977396941230593,6.091998695976612e-05,0.032759576824039086
unc-86,7.178414334374807e-05,-0.00611863768602585,0.5696798444382755,0.1818464085874676,4.631418761789751e-05,0.32453512515921773
unc-97,-4.5109601378423084e-05,0.06353883238577468,-0.4391098147575387,0.32428322335889165,4.1275917019809785e-05,0.19281742941639993
